name,rate,image,glb_company_size,industry,review,salary,jobs,description,office_locations
Dell Technologies,0.2727272727272734,https://media.glassdoor.com/sql/1327/dell-technologies-squarelogo-1702514279238.png,1.0,Information Technology Support Services,-0.6584317937701396,-0.88800668616799,-0.9949036708496369,"We believe that each of us has the power to make an impact. That’s why we put our team members at the center of everything we do. If you’re looking for an opportunity to grow your career with some of the best minds and most advanced tech in the industry, we’re looking for you. Dell Technologies is a unique family of businesses that helps individuals and organizations transform how they work, live and play. Join us to build a future that works for everyone because Progress Takes All of Us.  ",-0.9812474520994701
Capital One,-0.0909090909090906,https://media.glassdoor.com/sql/3736/capital-one-squareLogo-1667853695285.png,1.0,Banking & Lending,-0.8603651987110634,-0.8583368157124948,-0.961766869595812,"You know who you are and you’re good at it. You never settle for “good enough.” That’s why we want you at Capital One. We’re doing some bold, transformative things here. Like changing banking for good. What’s in it for you? A career surrounded by brilliant minds. People from different backgrounds, experiences and education levels. Coming together to create a sense of belonging. Supporting you where you are and where you want to be. And the chance to create real, impactful work that matters—without giving up your life or integrity to achieve it. That’s life at Capital One.",-0.9755401549123522
HCLTech,-0.8181818181818179,https://media.glassdoor.com/sql/553909/hcl-technologies-squareLogo-1664198027190.png,1.0,Information Technology Support Services,-0.5703544575725027,-0.8136230672795655,-0.9791242416811489,"HCLTech is a global technology company, home to 221,000+ people across 60 countries, delivering industry-leading capabilities centered around digital, engineering, cloud and AI powered by a broad portfolio of technology services and products. We work with clients across all major verticals, providing industry solutions for Financial Services, Manufacturing, Life Sciences and Healthcare, Technology and Services, Telecom and Media, Retail and CPG, and Public Services.

Our purpose is to bring together the best of technology and our people to supercharge progress. We’re supercharging progress for everyone, everywhere – our clients, partners and their stakeholders, our people, communities, and the planet.

Part of the HCL group, HCLTech was listed on the stock exchanges in India at the turn of the millennium in December 1999. Since our inception, we have pioneered several industry mainstays and established leadership positions in all our chosen segments.

As a company, we are deeply focused on accelerating our ESG agenda. We are also creating technology-enabled sustainable solutions with and for our clients and partners. We embed ESG imperatives into every aspect of our business and ensure that the progress we supercharge is responsible, inclusive and beneficial to all our stakeholders in the long term. We have committed to achieving net zero by 2040.

We recognize the impact that a business like ours can deliver in elevating communities globally, and we continue to improve our efforts and take decisive actions that benefit the communities in which we work and live. Through the HCL Foundation, the CSR arm of HCLTech, we have invested more than $130 million in social development efforts serving communities throughout India across education, health, water, sanitation and hygiene, skill development and livelihoods, environment, and disaster risk reduction, response and management.

We’re powered by our people – a global, diverse, multi-generational talent - representing 161 nationalities whose unique spark, perspective and boundless passion drive our culture of proactive value creation and problem-solving.

Consolidated revenues as of 12 months ending September 2023 totaled $12.9 billion. To learn how we can supercharge progress for you, visit hcltech.com",-0.9730941704035875
Salesforce,0.0909090909090906,https://media.glassdoor.com/sql/11159/salesforce-com-squarelogo-1413910133565.png,1.0,Enterprise Software & Network Solutions,-0.8345864661654135,-0.885499373171751,-0.9788257119401235,"Salesforce is cloud-based CRM software. It makes it easier for companies to find more prospects, close more deals, and connect with customers in a whole new way, so they can provide them with amazing service at scale.

Salesforce brings together all your data, from any source. Customer 360, our complete suite of products, unites your sales, service, marketing, commerce, and IT teams with a single, shared view of customer information. With artificial intelligence integrated across all products, Salesforce helps everyone in your company work more productively and better deliver the personalized experiences customers love.",-0.9543416225030574
Nordstrom,-0.8181818181818179,https://media.glassdoor.com/sql/1704/nordstrom-squareLogo-1679960370211.png,1.0,"Department, Clothing & Shoe Stores",-0.7862513426423201,-0.8896782281654827,-0.9979102918128219,"At Nordstrom, we empower our employees to set their sights high and blaze their own trails. This is a place where your success and growth are truly a result of your own efforts and achievements. 

Our teams are made up of motivated people who work hard to become leaders within the company, at all levels of the organization. These well-traveled paths show how hard work, loyalty, a competitive spirit and your unwavering commitment to the customer can take you and your career to new places.  

In addition to being a great place to have a career, we’re also committed to respecting the environment and supporting our communities. To learn more, check out NordstromCares.com.

Interested in joining the Nordstrom team?  

See some of our current opportunities under our Careers tab or visit careers.nordstrom.com to apply today.",0.3844272319608646
Teleperformance,0.4545454545454546,https://media.glassdoor.com/sql/9779/teleperformance-squareLogo-1697744314989.png,1.0,Telecommunications Services,-0.4156820622986037,-0.9728374425407438,-0.96603158018189,"Be part of something bigger.

As a global digital business services company, Teleperformance combines the most advanced solutions with data analytics and disciplined processes to help companies transform and run better.  In the end, we just help organizations adapt to change and master the future. 

We deliver the most advanced, digitally powered business services to help the world’s best brands streamline their business in meaningful and sustainable ways.

With more than 410,000 inspired and passionate people speaking more than 300 languages, our global scale and local presence allow us to be a force of good in supporting our communities, our clients, and the environment. 

Our high-tech, high-touch approach blends the best of technology and empathy. We thrive in a diverse and inclusive culture that celebrates the differences and strengths of our people. The happiness, well-being, and safety of our employees remain our priority, and we are proud to be an Employer of Choice: 99% of our employees work in a certified Best Place to Work® or Great Place to Work® site.

The future of work is here. Are you ready to take a giant leap towards a bigger and brighter career? We’ll help you get there. Take your career to greater heights with Teleperformance.",-0.9698328577252344
Goldman Sachs,-0.4545454545454547,https://media.glassdoor.com/sql/2800/goldman-sachs-squarelogo-1579121885039.png,1.0,Investment & Asset Management,-0.8388829215896885,-0.8754701211867948,-0.9950742592730801,"The Goldman Sachs Group, Inc. is a leading global investment banking, securities and investment management firm that provides a wide range of financial services to a substantial and diversified client base that includes corporations, financial institutions, governments and high-net-worth individuals. Founded in 1869, the firm is headquartered in New York and maintains offices in all major financial centers around the world.",-0.9812474520994701
ADP,-0.2727272727272727,https://media.glassdoor.com/sql/64/adp-squareLogo-1690899108128.png,1.0,Enterprise Software & Network Solutions,-0.8216970998925887,-0.9160050146259925,-0.9702962907679678,"Consistently named one of the ‘Most Admired Companies’ by FORTUNE® Magazine, and recognized by DiversityInc® as one of the ‘Top 50 Companies for Diversity’, ADP works with more than 1,000,000 organizations across the globe to help their people work smarter, embrace new challenges, and unleash their talent. “Always Designing for People” means we’re creating platforms that will transform how great work gets done, so together we can unlock a world of opportunity.",-0.9869547492865879
Morgan Stanley,-0.2727272727272727,https://media.glassdoor.com/sql/2282/morgan-stanley-squareLogo-1670774499083.png,1.0,Investment & Asset Management,-0.8345864661654135,-0.9030505641454242,-0.9920463147569648,"Morgan Stanley mobilizes capital to help governments, corporations, institutions and individuals around the world achieve their financial goals. For over 85 years, the firm’s reputation for using innovative thinking to solve complex problems has been well earned and rarely matched. A consistent industry leader throughout decades of dramatic change in modern finance, Morgan Stanley will continue to break new ground in advising, serving and providing new opportunities for its clients. 

Morgan Stanley is committed to maintaining the first-class service and high standard of excellence that have always defined the firm. At its foundation are five core values — putting clients first, doing the right thing, leading with exceptional ideas, committing to diversity and inclusion, and giving back — that guide its more than 80,000 employees in 1,200 offices across 41 countries.

Discover what makes Morgan Stanley such a great place to work by using the resources on this page to learn more about our people, our business, and our heritage.
",-0.9437423562984101
Comcast,-0.6363636363636359,https://media.glassdoor.com/sql/1280/comcast-squarelogo-1552675219892.png,1.0,Telecommunications Services,-0.8592910848549946,-0.9013790221479314,-0.9766933566470846,"We connect people to the moments that matter most.  Here, you’ll collaborate with diverse and passionate people to help re-imagine industries, invent new technologies and create extraordinary experiences for our customers. 

At Comcast NBCUniversal, we are day-doers, adventurers, and visionaries, pioneering the future at the intersection of media and technology.  We reimagine industries, invent groundbreaking technology and create extraordinary experiences for millions every day. It’s the diverse talents of our people that have propelled us to a Fortune 50 global industry leader. Everyone here has a voice and it’s the diverse talents of our people that have propelled us forward as a leader in connected experiences. It’s what also drives us to make a positive impact and empower change within the communities we serve. 

We are looking for people that share our passion for innovation to join our team – ready to create their own path and connect the world to amazing moments and experiences.

Come create the future with us! Apply today: http://comcastcareers.com.",-0.977986139421117
